Development,AvailableLots,timestamp
Suntec City,1488,2022-03-16T10:32
Suntec City,1488,2022-03-16T10:37
Suntec City,1510,2022-03-16T10:57
Suntec City,2593,2022-03-16T15:12
Suntec City,2593,2022-03-16T15:17
Suntec City,2644,2022-03-16T15:42
Suntec City,2701,2022-03-16T16:27
Suntec City,2731,2022-03-16T22:57
Suntec City,1032,2022-03-17T03:52
Suntec City,705,2022-03-17T06:22
Suntec City,2283,2022-03-17T14:07
Suntec City,2375,2022-03-18T15:07
Suntec City,2440,2022-03-18T15:17
Suntec City,1108,2022-03-21T04:52
Suntec City,1108,2022-03-21T04:57
Suntec City,1070,2022-03-21T05:07
Suntec City,1844,2022-03-21T11:02
Suntec City,2692,2022-03-21T16:57
Suntec City,2703,2022-03-21T17:02
Suntec City,2703,2022-03-21T17:07
Suntec City,2719,2022-03-21T17:47
Suntec City,2744,2022-03-21T21:27
Suntec City,2743,2022-03-21T21:57
Suntec City,2742,2022-03-21T22:07
Suntec City,2740,2022-03-21T22:17
Suntec City,2740,2022-03-21T22:22
Suntec City,1189,2022-03-22T04:07
Suntec City,1189,2022-03-22T04:12
Suntec City,1085,2022-03-22T05:07
Suntec City,1706,2022-03-23T10:57
Suntec City,1760,2022-03-25T00:12
Suntec City,1543,2022-03-25T02:02
Suntec City,1512,2022-03-25T02:07
Suntec City,935,2022-03-25T07:07
Suntec City,935,2022-03-25T07:12
Suntec City,1002,2022-03-25T08:57
Suntec City,1506,2022-03-25T10:02
Suntec City,971,2022-03-28T05:42
Suntec City,981,2022-03-28T05:47
Suntec City,1126,2022-03-29T03:52
Suntec City,1108,2022-03-30T03:57
Suntec City,992,2022-03-30T06:47
Suntec City,986,2022-03-30T06:52
Suntec City,1627,2022-03-30T10:02
Suntec City,2719,2022-03-31T23:12
Suntec City,1804,2022-03-31T23:22
Suntec City,1445,2022-04-01T02:42
Suntec City,1445,2022-04-01T02:47
Suntec City,1275,2022-04-01T03:17
Suntec City,1239,2022-04-01T03:32
Suntec City,1481,2022-04-01T10:22
Suntec City,2585,2022-04-01T16:07
Suntec City,2604,2022-04-01T16:27
Suntec City,2745,2022-04-02T17:57
Suntec City,2540,2022-04-03T14:07
Suntec City,2540,2022-04-03T14:17
Suntec City,2704,2022-04-03T16:22
Suntec City,2737,2022-04-03T22:07
Suntec City,2737,2022-04-03T22:17
Suntec City,1773,2022-04-04T10:47
Suntec City,1773,2022-04-04T11:02
Suntec City,1147,2022-04-06T03:32
Suntec City,1284,2022-04-07T03:07
Suntec City,1284,2022-04-07T03:17
Suntec City,944,2022-04-07T07:07
Suntec City,1012,2022-04-07T08:32
Suntec City,1036,2022-04-07T09:12
Suntec City,917,2022-04-08T06:57
Suntec City,948,2022-04-08T08:27
Suntec City,1485,2022-04-08T09:22
Suntec City,1484,2022-04-08T10:07
Suntec City,1484,2022-04-08T10:12
Suntec City,2587,2022-04-09T16:12
Suntec City,2579,2022-04-10T14:47
Suntec City,2623,2022-04-10T15:07
Suntec City,2656,2022-04-10T15:37
Suntec City,2656,2022-04-10T15:42
Suntec City,1802,2022-04-11T11:07
Suntec City,1802,2022-04-11T11:12
Suntec City,1802,2022-04-11T11:17
Suntec City,1802,2022-04-11T11:22
Suntec City,1802,2022-04-11T11:27
Suntec City,2716,2022-04-11T17:07
Suntec City,2586,2022-04-13T14:57
Suntec City,2666,2022-04-13T15:37
Suntec City,2673,2022-04-13T15:42
Suntec City,2678,2022-04-13T15:47
Suntec City,2711,2022-04-13T16:22
Suntec City,2713,2022-04-13T16:27
Suntec City,2715,2022-04-13T16:32
Suntec City,2716,2022-04-13T16:37
Suntec City,2717,2022-04-13T16:42
Suntec City,2717,2022-04-13T16:47
Suntec City,2718,2022-04-13T16:52
Suntec City,2723,2022-04-13T16:57
Suntec City,2725,2022-04-13T17:02
Suntec City,2725,2022-04-13T17:07
Suntec City,2729,2022-04-13T17:12
Suntec City,2730,2022-04-13T17:17
Suntec City,2734,2022-04-13T17:22
Suntec City,2742,2022-04-13T18:22
Suntec City,2742,2022-04-13T18:27
Suntec City,2741,2022-04-13T18:32
Suntec City,2741,2022-04-13T18:37
Suntec City,2741,2022-04-13T18:42
Suntec City,2741,2022-04-13T18:47
Suntec City,2742,2022-04-13T18:52
Suntec City,2738,2022-04-13T19:27
Suntec City,2738,2022-04-13T19:32
Suntec City,2738,2022-04-13T19:37
Suntec City,2738,2022-04-13T19:42
Suntec City,2738,2022-04-13T19:47
Suntec City,2738,2022-04-13T19:52
Suntec City,2738,2022-04-13T19:57
Suntec City,2738,2022-04-13T20:02
Suntec City,2738,2022-04-13T20:07
Suntec City,2738,2022-04-13T20:12
Suntec City,2738,2022-04-13T20:17
Suntec City,2738,2022-04-13T20:22
Suntec City,2738,2022-04-13T20:27
Suntec City,2738,2022-04-13T20:32
Suntec City,2738,2022-04-13T20:37
Suntec City,2738,2022-04-13T20:42
Suntec City,1562,2022-04-14T13:27
Suntec City,1622,2022-04-14T13:32
Suntec City,1989,2022-04-15T14:12
Suntec City,2040,2022-04-15T14:17
Suntec City,2090,2022-04-15T14:22
Suntec City,2663,2022-04-16T00:37
Suntec City,2319,2022-04-16T02:37
Suntec City,2749,2022-04-17T18:22
Suntec City,2749,2022-04-17T18:27
Suntec City,2753,2022-04-17T18:47
Suntec City,2752,2022-04-17T19:27
Suntec City,2752,2022-04-17T19:32
Suntec City,2752,2022-04-17T19:37
Suntec City,2752,2022-04-17T19:52
Suntec City,2752,2022-04-17T19:57
Suntec City,2750,2022-04-17T20:02
Suntec City,2751,2022-04-17T20:07
Suntec City,2751,2022-04-17T20:12
Suntec City,2751,2022-04-17T20:17
Suntec City,2751,2022-04-17T20:22
Suntec City,2751,2022-04-17T20:27
Suntec City,2751,2022-04-17T20:32
Suntec City,2751,2022-04-17T20:37
Suntec City,2751,2022-04-17T20:42
Suntec City,2750,2022-04-17T20:47
Suntec City,2750,2022-04-17T20:52
Suntec City,2750,2022-04-17T20:57
Suntec City,2751,2022-04-17T21:02
Suntec City,2751,2022-04-17T21:07
Suntec City,2747,2022-04-17T21:12
Suntec City,2747,2022-04-17T21:17
Suntec City,2747,2022-04-17T21:22
Suntec City,2671,2022-04-18T15:57
Suntec City,2581,2022-02-27T14:32
Suntec City,1076,2022-02-28T04:22
Suntec City,1059,2022-02-28T04:37
Suntec City,1032,2022-02-28T04:52
Suntec City,1032,2022-02-28T04:57
Suntec City,1007,2022-02-28T05:12
Suntec City,2691,2022-02-28T16:27
Suntec City,2732,2022-02-28T19:57
Suntec City,2732,2022-02-28T20:02
Suntec City,2731,2022-02-28T20:07
Suntec City,2733,2022-02-28T20:27
Suntec City,2733,2022-02-28T20:32
Suntec City,2738,2022-02-28T20:37
Suntec City,2738,2022-02-28T20:42
Suntec City,1796,2022-03-01T11:02
Suntec City,2474,2022-03-01T14:07
Suntec City,1344,2022-03-03T03:27
Suntec City,1285,2022-03-03T03:42
Suntec City,1742,2022-03-03T10:27
Suntec City,1387,2022-03-04T03:02
Suntec City,1387,2022-03-04T03:12
Suntec City,1344,2022-03-04T03:27
Suntec City,1344,2022-03-04T03:32
Suntec City,1091,2022-03-04T06:52
Suntec City,1091,2022-03-04T06:57
Suntec City,1091,2022-03-04T08:32
Suntec City,1091,2022-03-04T09:02
Suntec City,1091,2022-03-04T09:12
Suntec City,1091,2022-03-04T09:17
Suntec City,1147,2022-03-07T04:22
Suntec City,1868,2022-03-07T10:57
Suntec City,1868,2022-03-07T11:02
Suntec City,1222,2022-03-08T03:57
Suntec City,1183,2022-03-08T04:07
Suntec City,1183,2022-03-08T04:12
Suntec City,1780,2022-03-08T10:27
Suntec City,2742,2022-03-08T22:17
Suntec City,2737,2022-03-09T22:37
Suntec City,2737,2022-03-09T22:42
Suntec City,2735,2022-03-09T22:52
Suntec City,2735,2022-03-09T22:57
Suntec City,2735,2022-03-09T23:02
Suntec City,1250,2022-03-10T04:02
Suntec City,2419,2022-03-10T14:02
Suntec City,2419,2022-03-10T14:07
Suntec City,2627,2022-03-10T15:57
Suntec City,2644,2022-03-10T16:12
Suntec City,2657,2022-03-10T16:17
Suntec City,2708,2022-03-10T22:27
Suntec City,2709,2022-03-10T22:37
Suntec City,2709,2022-03-10T22:47
Suntec City,1006,2022-03-11T06:02
Suntec City,2419,2022-03-11T15:27
Suntec City,2458,2022-03-11T15:37
Suntec City,2651,2022-03-11T17:32
Suntec City,2340,2022-03-13T14:12
Suntec City,2340,2022-03-13T14:17
Suntec City,2484,2022-03-13T14:42
Suntec City,2640,2022-03-13T16:07
Suntec City,2665,2022-03-13T16:17
Suntec City,2737,2022-03-13T22:17
Suntec City,2737,2022-03-13T22:27
Suntec City,2736,2022-03-13T22:37
Suntec City,2736,2022-03-13T22:42
Suntec City,2736,2022-03-13T22:47
Suntec City,1003,2022-03-14T04:22
Suntec City,2750,2022-03-14T21:52
Suntec City,2747,2022-03-14T22:02
Suntec City,2747,2022-03-14T22:07
Suntec City,2748,2022-03-14T22:17
Suntec City,926,2022-03-15T04:27
Suntec City,713,2022-03-15T05:37
Suntec City,713,2022-03-15T05:42
Suntec City,1499,2022-03-15T11:02
Suntec City,1510,2022-03-16T10:52
Suntec City,2573,2022-03-16T14:52
Suntec City,2661,2022-03-16T15:52
Suntec City,2718,2022-03-16T17:02
Suntec City,2747,2022-03-16T20:02
Suntec City,2736,2022-03-16T22:07
Suntec City,2736,2022-03-16T22:12
Suntec City,2736,2022-03-16T22:22
Suntec City,2735,2022-03-16T22:37
Suntec City,1032,2022-03-17T03:47
Suntec City,1032,2022-03-17T03:57
Suntec City,705,2022-03-17T06:17
Suntec City,705,2022-03-17T06:27
Suntec City,713,2022-03-17T06:37
Suntec City,1347,2022-03-17T10:47
Suntec City,1347,2022-03-17T10:52
Suntec City,2510,2022-03-17T14:57
Suntec City,2510,2022-03-17T15:02
Suntec City,816,2022-03-18T04:17
Suntec City,1095,2022-03-18T10:27
Suntec City,2059,2022-03-18T14:22
Suntec City,2059,2022-03-18T14:27
Suntec City,1844,2022-03-21T11:07
Suntec City,2692,2022-03-21T16:52
Suntec City,2703,2022-03-21T17:12
Suntec City,2719,2022-03-21T17:32
Suntec City,2719,2022-03-21T17:42
Suntec City,2724,2022-03-21T19:07
Suntec City,2724,2022-03-21T19:17
Suntec City,2743,2022-03-21T19:37
Suntec City,2743,2022-03-21T19:42
Suntec City,2743,2022-03-21T19:47
Suntec City,2743,2022-03-21T19:52
Suntec City,1791,2022-03-22T10:42
Suntec City,1068,2022-03-23T05:57
Suntec City,1543,2022-03-25T01:57
Suntec City,1512,2022-03-25T02:12
Suntec City,1473,2022-03-25T02:22
Suntec City,1430,2022-03-25T02:42
Suntec City,1325,2022-03-25T03:12
Suntec City,1273,2022-03-25T03:17
Suntec City,957,2022-03-25T07:37
Suntec City,972,2022-03-25T08:02
Suntec City,972,2022-03-25T08:17
Suntec City,1002,2022-03-25T08:52
Suntec City,1531,2022-03-25T09:27
Suntec City,1509,2022-03-25T09:32
Suntec City,1509,2022-03-25T09:37
Suntec City,1506,2022-03-25T09:57
Suntec City,2552,2022-03-27T14:22
Suntec City,2589,2022-03-27T14:32
Suntec City,2589,2022-03-27T14:37
Suntec City,2589,2022-03-27T14:42
Suntec City,2606,2022-03-27T14:57
Suntec City,2618,2022-03-27T15:02
Suntec City,2618,2022-03-27T15:07
Suntec City,2618,2022-03-27T15:17
Suntec City,1075,2022-03-28T04:27
Suntec City,981,2022-03-28T05:52
Suntec City,981,2022-03-28T05:57
Suntec City,1126,2022-03-29T03:57
Suntec City,984,2022-03-30T06:17
Suntec City,1642,2022-03-30T10:07
Suntec City,915,2022-03-31T06:47
Suntec City,915,2022-03-31T06:52
Suntec City,2719,2022-03-31T23:17
Suntec City,1506,2022-04-01T09:57
Suntec City,1481,2022-04-01T10:17
Suntec City,2465,2022-04-01T15:37
Suntec City,2745,2022-04-02T17:27
Suntec City,2745,2022-04-02T17:37
