Development,AvailableLots,timestamp
Suntec City,1108,2022-03-01T07:02
Suntec City,1119,2022-03-01T07:37
Suntec City,1780,2022-03-02T10:07
Suntec City,1816,2022-03-02T10:17
Suntec City,1757,2022-03-03T00:12
Suntec City,1117,2022-03-03T07:02
Suntec City,1117,2022-03-03T07:12
Suntec City,1115,2022-03-03T07:17
Suntec City,1115,2022-03-03T07:22
Suntec City,1115,2022-03-03T07:27
Suntec City,1117,2022-03-03T07:37
Suntec City,1128,2022-03-03T07:47
Suntec City,1132,2022-03-03T08:47
Suntec City,1818,2022-03-03T23:22
Suntec City,1483,2022-03-04T02:42
Suntec City,1429,2022-03-04T02:52
Suntec City,1351,2022-03-07T03:12
Suntec City,1351,2022-03-07T03:17
Suntec City,1296,2022-03-07T03:32
Suntec City,1259,2022-03-07T03:57
Suntec City,1103,2022-03-07T06:12
Suntec City,1106,2022-03-07T06:32
Suntec City,1788,2022-03-07T10:17
Suntec City,1818,2022-03-07T10:27
Suntec City,2722,2022-03-07T23:07
Suntec City,2722,2022-03-07T23:12
Suntec City,1319,2022-03-08T03:07
Suntec City,1128,2022-03-08T06:27
Suntec City,1128,2022-03-08T06:32
Suntec City,1139,2022-03-08T07:27
Suntec City,1126,2022-03-08T07:37
Suntec City,1655,2022-03-08T09:22
Suntec City,1655,2022-03-08T09:27
Suntec City,1173,2022-03-09T07:12
Suntec City,1196,2022-03-09T07:37
Suntec City,1183,2022-03-09T08:17
Suntec City,1089,2022-03-10T06:42
Suntec City,1117,2022-03-10T06:52
Suntec City,1703,2022-03-10T10:27
Suntec City,1731,2022-03-10T10:42
Suntec City,1435,2022-03-11T02:52
Suntec City,1370,2022-03-11T03:17
Suntec City,1370,2022-03-11T03:22
Suntec City,998,2022-03-11T07:37
Suntec City,979,2022-03-11T08:02
Suntec City,979,2022-03-11T08:12
Suntec City,973,2022-03-11T08:37
Suntec City,1410,2022-03-11T09:52
Suntec City,1558,2022-03-14T10:12
Suntec City,781,2022-03-15T06:22
Suntec City,2596,2022-03-15T15:22
Suntec City,2596,2022-03-15T15:27
Suntec City,2734,2022-03-15T18:47
Suntec City,2734,2022-03-15T18:52
Suntec City,2734,2022-03-15T18:57
Suntec City,2744,2022-03-15T19:27
Suntec City,2744,2022-03-15T19:32
Suntec City,2744,2022-03-15T19:37
Suntec City,2744,2022-03-15T19:42
Suntec City,2744,2022-03-15T19:47
Suntec City,2744,2022-03-15T19:52
Suntec City,2744,2022-03-15T19:57
Suntec City,2744,2022-03-15T20:02
Suntec City,2745,2022-03-15T20:07
Suntec City,2745,2022-03-15T20:12
Suntec City,2745,2022-03-15T20:17
Suntec City,2745,2022-03-15T20:22
Suntec City,2745,2022-03-15T20:27
Suntec City,1457,2022-03-16T09:52
Suntec City,781,2022-03-17T07:32
Suntec City,770,2022-03-17T07:52
Suntec City,770,2022-03-17T08:02
Suntec City,1388,2022-03-17T09:22
Suntec City,1390,2022-03-17T10:12
Suntec City,1791,2022-03-17T23:47
Suntec City,1084,2022-03-18T03:37
Suntec City,563,2022-03-18T08:07
Suntec City,563,2022-03-18T08:12
Suntec City,563,2022-03-18T08:17
Suntec City,590,2022-03-18T08:42
Suntec City,1178,2022-03-18T10:02
Suntec City,1178,2022-03-18T10:07
Suntec City,2734,2022-03-20T22:52
Suntec City,2734,2022-03-20T22:57
Suntec City,1203,2022-03-21T04:12
Suntec City,1149,2022-03-21T04:22
Suntec City,1319,2022-03-22T03:27
Suntec City,1130,2022-03-22T06:02
