Development,AvailableLots,timestamp
Suntec City,1405,2022-03-05T05:02
Suntec City,1196,2022-03-05T05:32
Suntec City,288,2022-03-05T10:52
Suntec City,1347,2022-03-12T05:02
Suntec City,1191,2022-03-12T06:02
Suntec City,1157,2022-03-12T06:27
Suntec City,1143,2022-03-12T06:32
Suntec City,2474,2022-03-13T01:27
Suntec City,1074,2022-03-13T06:27
Suntec City,462,2022-03-19T12:17
Suntec City,462,2022-03-19T12:27
Suntec City,1357,2022-03-20T11:47
Suntec City,1165,2022-03-26T06:47
Suntec City,1165,2022-03-26T06:52
Suntec City,1165,2022-03-26T06:57
Suntec City,1186,2022-03-26T07:12
Suntec City,126,2022-03-26T10:47
Suntec City,324,2022-03-26T12:27
Suntec City,2511,2022-03-27T01:12
Suntec City,2146,2022-03-27T01:57
Suntec City,2003,2022-03-27T02:12
Suntec City,1114,2022-03-27T10:12
Suntec City,1052,2022-03-27T10:22
Suntec City,1034,2022-03-27T10:47
Suntec City,1270,2022-03-27T11:47
Suntec City,1270,2022-03-27T11:52
Suntec City,1270,2022-03-27T11:57
Suntec City,1216,2022-04-02T06:02
Suntec City,1216,2022-04-02T06:12
Suntec City,1231,2022-04-02T06:42
Suntec City,1231,2022-04-02T06:47
Suntec City,696,2022-04-02T09:42
Suntec City,598,2022-04-02T09:52
Suntec City,1850,2022-04-03T02:32
Suntec City,1748,2022-04-03T02:37
Suntec City,1135,2022-04-03T03:47
Suntec City,1072,2022-04-03T06:32
Suntec City,1072,2022-04-03T06:37
Suntec City,1764,2022-04-07T12:02
Suntec City,1819,2022-04-07T12:22
Suntec City,1309,2022-04-09T07:27
Suntec City,1305,2022-04-09T07:42
Suntec City,1816,2022-04-10T02:27
Suntec City,1816,2022-04-10T02:32
Suntec City,1642,2022-04-10T03:02
Suntec City,1280,2022-04-10T03:37
Suntec City,1231,2022-04-10T10:12
Suntec City,1229,2022-04-10T10:27
Suntec City,1406,2022-04-10T11:47
Suntec City,1406,2022-04-10T11:52
Suntec City,966,2022-04-15T04:32
Suntec City,218,2022-04-15T11:07
Suntec City,219,2022-04-15T11:27
Suntec City,233,2022-04-15T11:42
Suntec City,284,2022-04-16T11:17
Suntec City,794,2022-04-17T04:47
Suntec City,800,2022-04-17T04:52
Suntec City,776,2022-04-17T05:02
Suntec City,1246,2022-02-27T04:42
Suntec City,1252,2022-02-27T10:57
Suntec City,339,2022-03-05T12:07
Suntec City,339,2022-03-05T12:12
Suntec City,469,2022-03-05T12:17
Suntec City,469,2022-03-05T12:22
Suntec City,1347,2022-03-12T05:12
