Development,AvailableLots,timestamp
Suntec City,2705,2022-03-10T19:27
Suntec City,2708,2022-03-10T19:32
Suntec City,2711,2022-03-10T22:02
Suntec City,1206,2022-03-11T04:07
Suntec City,1159,2022-03-11T04:22
Suntec City,1281,2022-03-11T10:27
Suntec City,1229,2022-03-11T10:42
Suntec City,2651,2022-03-11T17:47
Suntec City,2664,2022-03-11T17:52
Suntec City,2664,2022-03-11T18:02
Suntec City,2698,2022-03-11T19:02
Suntec City,2698,2022-03-11T19:07
Suntec City,2398,2022-03-12T15:32
Suntec City,2617,2022-03-12T16:52
Suntec City,2617,2022-03-12T16:57
Suntec City,2617,2022-03-12T17:02
Suntec City,2634,2022-03-12T17:07
Suntec City,2684,2022-03-12T18:07
Suntec City,2695,2022-03-12T18:22
Suntec City,2693,2022-03-13T16:57
Suntec City,2699,2022-03-13T17:02
Suntec City,2699,2022-03-13T17:12
Suntec City,2719,2022-03-13T17:57
Suntec City,2739,2022-03-13T18:47
Suntec City,2739,2022-03-13T18:57
Suntec City,2740,2022-03-13T19:12
Suntec City,2740,2022-03-13T19:22
Suntec City,2740,2022-03-13T19:52
Suntec City,2740,2022-03-13T21:27
Suntec City,2740,2022-03-13T21:32
Suntec City,2740,2022-03-13T21:37
Suntec City,2740,2022-03-13T21:42
Suntec City,873,2022-03-14T05:02
Suntec City,869,2022-03-14T05:17
Suntec City,869,2022-03-14T05:22
Suntec City,1594,2022-03-14T11:12
Suntec City,1619,2022-03-14T11:22
Suntec City,1633,2022-03-14T11:32
Suntec City,2068,2022-03-14T13:12
Suntec City,722,2022-03-15T05:22
Suntec City,722,2022-03-15T05:27
Suntec City,1500,2022-03-15T11:27
Suntec City,2092,2022-03-15T13:22
Suntec City,756,2022-03-16T05:57
Suntec City,1497,2022-03-16T11:12
Suntec City,2203,2022-03-16T13:42
Suntec City,2405,2022-03-16T14:12
Suntec City,2480,2022-03-16T14:17
Suntec City,2738,2022-03-16T20:42
Suntec City,2739,2022-03-16T20:47
Suntec City,2739,2022-03-16T20:57
Suntec City,2739,2022-03-16T21:02
Suntec City,953,2022-03-17T04:12
Suntec City,824,2022-03-17T04:32
Suntec City,824,2022-03-17T04:37
Suntec City,1916,2022-03-17T13:27
Suntec City,2701,2022-03-17T17:27
Suntec City,2710,2022-03-17T17:42
Suntec City,2714,2022-03-17T17:52
Suntec City,2728,2022-03-17T19:17
Suntec City,2727,2022-03-17T20:02
Suntec City,2727,2022-03-17T20:07
Suntec City,2728,2022-03-17T20:32
Suntec City,1009,2022-03-18T10:32
Suntec City,1709,2022-03-18T13:52
Suntec City,2523,2022-03-18T15:47
Suntec City,2523,2022-03-18T15:52
Suntec City,2567,2022-03-18T16:07
Suntec City,2567,2022-03-18T16:12
Suntec City,2611,2022-03-18T16:17
Suntec City,2611,2022-03-18T16:22
Suntec City,2328,2022-03-19T14:52
Suntec City,2328,2022-03-19T14:57
Suntec City,2406,2022-03-19T15:17
Suntec City,2450,2022-03-19T15:42
Suntec City,2608,2022-03-20T15:07
Suntec City,2620,2022-03-20T15:27
Suntec City,2636,2022-03-20T15:32
Suntec City,2645,2022-03-20T15:47
Suntec City,2655,2022-03-20T16:07
Suntec City,2677,2022-03-20T16:22
Suntec City,2696,2022-03-20T16:42
Suntec City,2706,2022-03-20T17:02
Suntec City,2715,2022-03-20T17:27
Suntec City,2716,2022-03-20T17:32
Suntec City,2741,2022-03-20T19:32
Suntec City,2741,2022-03-20T19:37
Suntec City,2741,2022-03-20T19:47
Suntec City,2741,2022-03-20T20:02
Suntec City,2741,2022-03-20T20:07
Suntec City,2741,2022-03-20T20:17
Suntec City,2739,2022-03-20T21:57
Suntec City,1897,2022-03-21T11:42
Suntec City,1983,2022-03-21T12:27
Suntec City,2061,2022-03-21T12:37
Suntec City,2061,2022-03-21T12:42
Suntec City,2452,2022-03-21T13:57
Suntec City,2595,2022-03-21T14:32
Suntec City,2595,2022-03-21T14:37
Suntec City,1121,2022-03-22T04:37
Suntec City,1094,2022-03-22T04:52
Suntec City,1124,2022-03-23T04:22
Suntec City,2275,2022-03-23T13:37
Suntec City,2374,2022-03-23T13:47
Suntec City,2492,2022-03-26T15:42
Suntec City,2522,2022-03-26T15:52
Suntec City,2638,2022-03-27T15:27
Suntec City,2646,2022-03-27T15:37
Suntec City,2655,2022-03-27T15:47
Suntec City,2674,2022-03-27T16:07
Suntec City,2674,2022-03-27T16:12
Suntec City,1075,2022-03-28T04:32
Suntec City,887,2022-03-29T05:32
Suntec City,887,2022-03-29T05:42
Suntec City,896,2022-03-29T05:47
Suntec City,2328,2022-03-29T13:57
Suntec City,955,2022-03-30T05:47
Suntec City,955,2022-03-30T05:57
Suntec City,2506,2022-03-30T14:47
Suntec City,2598,2022-03-30T15:17
Suntec City,2598,2022-03-30T15:22
