Development,AvailableLots,timestamp
Suntec City,2736,2022-03-22T18:42
Suntec City,2736,2022-03-22T18:47
Suntec City,2736,2022-03-22T18:57
Suntec City,2736,2022-03-22T19:07
Suntec City,2750,2022-03-22T21:22
Suntec City,2751,2022-03-22T21:37
Suntec City,2750,2022-03-22T21:47
Suntec City,2750,2022-03-22T21:52
Suntec City,2748,2022-03-22T22:02
Suntec City,2748,2022-03-22T22:12
Suntec City,1714,2022-03-23T11:32
Suntec City,1714,2022-03-23T11:47
Suntec City,2706,2022-03-24T16:42
Suntec City,2712,2022-03-24T16:57
Suntec City,2745,2022-03-24T20:07
Suntec City,2745,2022-03-24T20:52
Suntec City,2745,2022-03-24T21:02
Suntec City,2744,2022-03-24T21:42
Suntec City,2743,2022-03-24T21:57
Suntec City,2743,2022-03-24T22:02
Suntec City,2743,2022-03-24T22:07
Suntec City,2740,2022-03-24T22:22
Suntec City,1024,2022-03-25T04:32
Suntec City,1024,2022-03-25T04:42
Suntec City,895,2022-03-25T05:27
Suntec City,1315,2022-03-25T10:47
Suntec City,2045,2022-03-25T14:07
Suntec City,2332,2022-03-25T14:47
Suntec City,2401,2022-03-25T15:02
Suntec City,2585,2022-03-25T16:22
Suntec City,2659,2022-03-25T17:07
Suntec City,2700,2022-03-25T17:42
Suntec City,2717,2022-03-25T17:52
Suntec City,2717,2022-03-25T17:57
Suntec City,2729,2022-03-25T18:07
Suntec City,2734,2022-03-25T18:22
Suntec City,2693,2022-03-26T00:17
Suntec City,2633,2022-03-26T00:42
Suntec City,2301,2022-03-26T02:22
Suntec City,2257,2022-03-26T02:32
Suntec City,2720,2022-03-26T18:52
Suntec City,2720,2022-03-26T18:57
Suntec City,2727,2022-03-26T19:02
Suntec City,1807,2022-03-27T12:47
Suntec City,939,2022-03-30T05:02
Suntec City,2086,2022-03-30T13:32
Suntec City,2740,2022-03-30T20:47
Suntec City,2740,2022-03-30T20:52
Suntec City,2740,2022-03-30T20:57
Suntec City,2742,2022-03-30T21:47
Suntec City,986,2022-03-31T04:52
Suntec City,1956,2022-03-31T13:12
Suntec City,1956,2022-03-31T13:17
Suntec City,2073,2022-03-31T13:27
Suntec City,2737,2022-03-31T21:47
Suntec City,958,2022-04-01T04:57
Suntec City,937,2022-04-01T05:02
Suntec City,937,2022-04-01T05:07
Suntec City,922,2022-04-01T05:22
Suntec City,921,2022-04-01T05:32
Suntec City,921,2022-04-01T05:37
Suntec City,921,2022-04-01T05:42
Suntec City,944,2022-04-01T05:47
Suntec City,1277,2022-04-01T11:07
Suntec City,1277,2022-04-01T11:17
Suntec City,2176,2022-04-02T02:52
Suntec City,1916,2022-04-02T13:47
Suntec City,1763,2022-04-05T11:27
Suntec City,2205,2022-04-06T13:22
Suntec City,2205,2022-04-06T13:27
Suntec City,2747,2022-04-06T19:52
Suntec City,2747,2022-04-06T20:02
Suntec City,2749,2022-04-06T20:12
Suntec City,2749,2022-04-06T20:17
Suntec City,2749,2022-04-06T20:27
Suntec City,2749,2022-04-06T20:32
Suntec City,2749,2022-04-06T20:42
Suntec City,2748,2022-04-06T20:47
Suntec City,1022,2022-04-07T04:37
Suntec City,909,2022-04-07T05:07
Suntec City,908,2022-04-07T05:27
Suntec City,2750,2022-04-07T21:02
Suntec City,2750,2022-04-07T21:12
Suntec City,2750,2022-04-07T21:17
Suntec City,2750,2022-04-07T21:32
Suntec City,2410,2022-04-09T02:12
Suntec City,2740,2022-04-09T21:27
Suntec City,2739,2022-04-09T22:12
Suntec City,2738,2022-04-09T22:22
Suntec City,1911,2022-04-11T12:07
Suntec City,1911,2022-04-11T12:12
Suntec City,1507,2022-04-15T03:37
Suntec City,482,2022-04-15T08:47
Suntec City,1736,2022-04-16T04:07
Suntec City,1327,2022-04-16T07:22
Suntec City,1321,2022-04-16T07:42
Suntec City,779,2022-04-16T12:37
Suntec City,808,2022-04-16T12:42
Suntec City,2253,2022-04-17T01:27
Suntec City,2191,2022-04-17T01:32
Suntec City,1653,2022-04-17T02:37
Suntec City,1866,2022-04-19T12:22
Suntec City,2744,2022-04-19T21:17
Suntec City,2745,2022-04-19T21:32
Suntec City,991,2022-02-27T06:27
Suntec City,1248,2022-02-27T07:17
Suntec City,1418,2022-02-27T09:02
Suntec City,1449,2022-02-27T09:12
Suntec City,1413,2022-02-27T09:17
