Development,AvailableLots,timestamp
Suntec City,1651,2022-04-05T01:12
Suntec City,1621,2022-04-05T01:17
Suntec City,1791,2022-04-05T23:37
Suntec City,1791,2022-04-05T23:42
Suntec City,1734,2022-04-06T00:07
Suntec City,1809,2022-04-12T23:22
Suntec City,1806,2022-04-12T23:27
Suntec City,1508,2022-04-13T01:42
Suntec City,1486,2022-04-13T01:47
Suntec City,906,2022-04-14T08:57
Suntec City,905,2022-04-14T09:02
Suntec City,1420,2022-04-14T09:22
Suntec City,1411,2022-04-14T09:42
Suntec City,1407,2022-04-14T10:07
Suntec City,2672,2022-04-14T18:02
Suntec City,2673,2022-04-14T18:07
Suntec City,2688,2022-04-14T18:27
Suntec City,2694,2022-04-14T18:47
Suntec City,2737,2022-04-17T22:57
Suntec City,2732,2022-04-17T23:02
Suntec City,1127,2022-04-18T09:02
Suntec City,1725,2022-04-19T00:22
Suntec City,1402,2022-04-19T02:12
Suntec City,1798,2022-04-20T01:07
Suntec City,1710,2022-03-01T00:22
Suntec City,1710,2022-03-01T00:27
Suntec City,1471,2022-03-01T01:57
Suntec City,1410,2022-03-01T02:17
Suntec City,1519,2022-03-02T02:22
Suntec City,1124,2022-03-02T08:32
Suntec City,1124,2022-03-02T08:37
Suntec City,1715,2022-03-03T00:47
Suntec City,1688,2022-03-03T00:57
Suntec City,1691,2022-03-04T01:07
Suntec City,1691,2022-03-04T01:12
Suntec City,1667,2022-03-04T01:17
Suntec City,1667,2022-03-04T01:22
Suntec City,1640,2022-03-04T01:37
Suntec City,1458,2022-03-07T02:27
Suntec City,1087,2022-03-07T07:47
Suntec City,1087,2022-03-07T08:07
Suntec City,1190,2022-03-07T09:07
Suntec City,1709,2022-03-07T09:32
Suntec City,1794,2022-03-07T23:32
Suntec City,1772,2022-03-07T23:47
Suntec City,1531,2022-03-08T01:57
Suntec City,1796,2022-03-08T23:47
Suntec City,1776,2022-03-08T23:52
Suntec City,1704,2022-03-09T00:37
Suntec City,1734,2022-03-10T00:37
Suntec City,1734,2022-03-10T00:42
Suntec City,1604,2022-03-10T01:42
Suntec City,1777,2022-03-10T23:32
Suntec City,1777,2022-03-10T23:37
Suntec City,1768,2022-03-10T23:47
Suntec City,1709,2022-03-11T00:42
Suntec City,1644,2022-03-11T01:22
Suntec City,1644,2022-03-11T01:27
Suntec City,816,2022-03-15T06:57
Suntec City,838,2022-03-15T07:37
Suntec City,858,2022-03-15T08:17
Suntec City,856,2022-03-15T08:52
Suntec City,856,2022-03-15T08:57
Suntec City,1425,2022-03-15T09:32
Suntec City,1422,2022-03-15T09:52
Suntec City,1504,2022-03-16T01:57
Suntec City,1469,2022-03-16T02:07
Suntec City,1469,2022-03-16T02:12
Suntec City,1408,2022-03-18T02:22
Suntec City,1408,2022-03-18T02:27
Suntec City,1356,2022-03-18T02:37
Suntec City,1583,2022-03-22T01:32
Suntec City,1583,2022-03-22T01:42
Suntec City,1657,2022-03-23T01:12
Suntec City,1619,2022-03-23T01:22
Suntec City,1619,2022-03-23T01:27
Suntec City,1814,2022-03-27T23:32
Suntec City,1762,2022-03-28T00:07
Suntec City,1480,2022-03-28T02:02
Suntec City,1807,2022-03-28T23:17
Suntec City,1807,2022-03-28T23:22
